"","VALUE","YEAR","DIST_TYPE","SEVERITY","sumcount","ACRES"
"468",441,2013,"Thinning","Low",5274,1172.908593
"469",442,2013,"Thinning","Medium",80,17.79156
"470",443,2013,"Thinning","High",13,2.8911285
"471",451,2013,"Mastication","Low",9740,2166.12243
"472",452,2013,"Mastication","Medium",194,43.144533
"473",453,2013,"Mastication","High",25,5.5598625
"474",461,2013,"Other Mechanical","Low",7516,1671.517062
"475",462,2013,"Other Mechanical","Medium",265,58.9345425
"476",491,2013,"Prescribed Fire","Low",58890,13096.812105
"477",492,2013,"Prescribed Fire","Medium",5898,1311.682761
"478",493,2013,"Prescribed Fire","High",2332,518.623974
"479",601,2013,"Unknown","Low",251,55.8210195
"480",602,2013,"Unknown","Medium",87,19.3483215
"481",603,2013,"Unknown","High",290,64.494405
"482",701,2013,"Unknown","Low",222,49.371579
"483",702,2013,"Unknown","Medium",101,22.4618445
"484",703,2013,"Unknown","High",33,7.3390185
"485",751,2013,"Mastication","Low",676,150.338682
"486",752,2013,"Mastication","Medium",85,18.9035325
"487",753,2013,"Mastication","High",20,4.44789
"488",761,2013,"Other Mechanical","Low",120,26.68734
"489",762,2013,"Other Mechanical","Medium",36,8.006202
"490",791,2013,"Prescribed Fire","Low",21,4.6702845
"491",792,2013,"Prescribed Fire","Medium",16,3.558312
"492",793,2013,"Prescribed Fire","High",8,1.779156
"493",941,2013,"Thinning","Low",9152,2035.354464
"494",951,2013,"Mastication","Low",11491,2555.5351995
"495",961,2013,"Other Mechanical","Low",4770,1060.821765
"496",991,2013,"Prescribed Fire","Low",70439,15665.2461855
"497",1101,2013,"Unknown/Fire Doubtful","Low",360,80.06202
"498",1102,2013,"Unknown/Fire Doubtful","Medium",206,45.813267
"499",1103,2013,"Unknown/Fire Doubtful","High",74,16.457193
"500",1111,2013,"Unknown/Possibly Fire","Low",1,0.2223945
"501",1121,2013,"Unknown/Possibly Fire","Low",8,1.779156
"502",1122,2013,"Unknown/Possibly Fire","Medium",14,3.113523
"503",1123,2013,"Unknown/Possibly Fire","High",96,21.349872
"504",11,2014,"Wildfire","Unburned/Low",51896,11541.384972
"505",12,2014,"Wildfire","Low",96451,21450.1719195
"506",13,2014,"Wildfire","Medium",24465,5440.8814425
"507",14,2014,"Wildfire","High",378,84.065121
"508",15,2014,"Wildfire","Increased Green",258,57.377781
"509",16,2014,"Wildfire","NA",18,4.003101
"510",111,2014,"Wildfire","Unburned/Low",2111,469.4747895
"511",112,2014,"Wildfire","Low",14738,3277.650141
"512",113,2014,"Wildfire","Medium",521,115.8675345
